SUID,@id,Betweenness,Closeness,Degree,Eigenvector,Information,LAC,name,Network,selected,shared name,stringdb::canonical name,stringdb::full name,Subgragh,
76,stringdb:9606.ENSP00000302393,36.04651956,0.060287611,7,0.002407696,4.387387276,2.571428571,9606.ENSP00000302393,3,FALSE,9606.ENSP00000302393,Q9BYZ2,,1.91E+24,0.24732388
338,stringdb:9606.ENSP00000441828,0,0.059939511,7,0.003791692,4.387387276,6,9606.ENSP00000441828,7,FALSE,9606.ENSP00000441828,P00739,,4.73E+24,0.247311629
473,stringdb:9606.ENSP00000231656,3.253693644,0.060521932,4,0.004314859,3.304881573,1,9606.ENSP00000231656,1.333333333,FALSE,9606.ENSP00000231656,P47902,,6.12E+24,0.246683373
331,stringdb:9606.ENSP00000370421,0.58469856,0.060196051,5,0.003991751,3.711926937,3.2,9606.ENSP00000370421,4,FALSE,9606.ENSP00000370421,P52945,,5.24E+24,0.246129171
122,stringdb:9606.ENSP00000350314,393.8278695,0.059287463,5,7.46E-04,3.711927176,0.8,9606.ENSP00000350314,1.083333333,FALSE,9606.ENSP00000350314,Q9BYV7,,1.83E+23,0.245531054
235,stringdb:9606.ENSP00000333946,119.5529636,0.060204363,5,0.001907721,3.711927176,1.2,9606.ENSP00000333946,1.5,FALSE,9606.ENSP00000333946,Q9Y2Z9,,1.20E+24,0.245416113
180,stringdb:9606.ENSP00000299198,32.15776693,0.059449141,9,0.001674244,4.925130844,4,9606.ENSP00000299198,4.785714286,FALSE,9606.ENSP00000299198,P12277,,9.22E+23,0.245389021
310,stringdb:9606.ENSP00000159060,50.14643491,0.060171129,5,0.002712869,3.711926937,1.2,9606.ENSP00000159060,1.5,FALSE,9606.ENSP00000159060,Q9HBY0,,2.42E+24,0.245113308
163,stringdb:9606.ENSP00000337446,64.39480052,0.059964242,6,0.001988563,4.069982529,1.333333333,9606.ENSP00000337446,1.65,FALSE,9606.ENSP00000337446,Q14849,,1.30E+24,0.244760306
92,stringdb:9606.ENSP00000349595,15.86893466,0.059939511,5,0.003488096,3.711927176,0.8,9606.ENSP00000349595,1,FALSE,9606.ENSP00000349595,O14983,,4.00E+24,0.244686697
441,stringdb:9606.ENSP00000417229,1.420699799,0.059652483,6,0.003427983,4.069982529,3,9606.ENSP00000417229,3.6,FALSE,9606.ENSP00000417229,Q9BY44,,3.86E+24,0.244441257
125,stringdb:9606.ENSP00000417052,2.146878212,0.059335874,10,8.68E-04,5.154873371,8.2,9606.ENSP00000417052,9.111111111,FALSE,9606.ENSP00000417052,Q15125,,2.48E+23,0.244407189
266,stringdb:9606.ENSP00000333926,40.38731835,0.0599148,6,0.002003697,4.069982529,1.333333333,9606.ENSP00000333926,1.6,FALSE,9606.ENSP00000333926,Q9UNP5,,1.32E+24,0.244117866
484,stringdb:9606.ENSP00000216392,66.89514892,0.059408639,8,0.001294464,4.670701504,4.25,9606.ENSP00000216392,4.857142857,FALSE,9606.ENSP00000216392,Q641R5,,5.51E+23,0.244109062
399,stringdb:9606.ENSP00000363397,17.71795715,0.059881884,4,0.003386486,3.304881573,1,9606.ENSP00000363397,1.333333333,FALSE,9606.ENSP00000363397,Q16739,,3.77E+24,0.243104778
357,stringdb:9606.ENSP00000311648,52.64334341,0.059676978,6,0.00167753,4.069982529,0.333333333,9606.ENSP00000311648,0.4,FALSE,9606.ENSP00000311648,Q16880,,9.25E+23,0.242951496
123,stringdb:9606.ENSP00000377878,0,0.05989011,5,0.001975168,3.711927176,4,9606.ENSP00000377878,5,FALSE,9606.ENSP00000377878,Q06055,,1.28E+24,0.241940663
165,stringdb:9606.ENSP00000355893,7.318398429,0.060079923,4,0.002083526,3.304881573,0,9606.ENSP00000355893,0,FALSE,9606.ENSP00000355893,Q6XR72,,1.43E+24,0.241739328
253,stringdb:9606.ENSP00000411593,5.080759487,0.059717847,5,0.002123566,3.711927176,2,9606.ENSP00000411593,2.5,FALSE,9606.ENSP00000411593,P23415,,1.48E+24,0.241590972
496,stringdb:9606.ENSP00000264784,29.27313131,0.059611704,5,0.001447574,3.711926937,0.4,9606.ENSP00000264784,0.5,FALSE,9606.ENSP00000264784,Q9NRM0,,6.89E+23,0.240653154
