170	76611
390	73096
415	65402
362	60476
182	54001
245	53776
407	51032
278	50940
185	50538
224	44741
236	42538
409	41313
395	40614
305	40512
519	40180
420	40176
175	39495
252	39140
209	38496
214	37421
559	36515
375	36396
480	35700
283	35643
329	34586
388	34021
298	33972
328	33394
325	32563
166	32341
193	31584
247	30503
280	30039
288	29189
275	28901
201	28145
327	28124
234	28071
537	28031
359	27748
554	27463
200	27321
177	27069
276	27020
186	26662
444	26332
324	26084
277	25796
340	25775
249	25681
352	25514
240	25144
497	25081
217	24948
360	23956
208	23675
161	23638
456	23137
430	23024
211	22890
379	22838
218	22225
383	22218
256	22201
187	22025
255	21904
164	21883
450	21775
413	21653
428	21604
284	21487
287	21445
365	21309
215	21061
174	20949
184	20705
442	20699
380	20625
403	20478
423	20362
393	20079
589	20025
321	19801
419	19772
364	19386
447	19380
551	19378
266	19044
342	18424
501	17868
270	17826
337	17789
281	17585
382	17203
488	17163
318	17081
353	16911
296	16809
431	16788
181	16766
323	16334
445	16313
387	16243
361	16235
341	16216
202	15882
369	15802
548	15797
244	15733
260	15567
384	15531
435	15350
398	15339
332	15328
167	15289
306	15181
330	15104
486	14975
397	14902
301	14885
424	14874
198	14853
282	14750
206	14734
457	14686
299	14659
339	14603
165	14567
478	14557
272	14253
421	14221
226	14214
470	14152
459	14088
462	13960
269	13936
204	13784
504	13780
346	13759
221	13593
196	13587
366	13579
490	13366
223	13332
391	13229
376	13194
160	13109
163	13084
194	13068
578	13042
190	12949
429	12873
197	12808
372	12767
172	12643
237	12488
574	12421
414	12320
203	12293
426	12290
571	12150
216	11941
317	11938
349	11935
271	11922
304	11914
207	11872
179	11802
300	11721
579	11619
552	11599
402	11473
285	11427
474	11422
238	11412
389	11340
558	11294
580	11196
233	11125
584	11089
563	11076
338	11045
297	10992
555	10975
396	10949
458	10904
363	10813
495	10806
262	10800
295	10776
212	10736
195	10722
348	10664
309	10586
347	10546
468	10468
570	10458
572	10304
319	10241
562	10238
248	10185
302	10169
505	10107
235	10103
432	10023
443	10018
231	9968
517	9965
583	9904
355	9888
543	9708
405	9684
492	9644
467	9552
335	9483
400	9381
293	9323
373	9287
573	9204
568	9202
232	9179
471	9090
434	9057
535	9055
358	9035
241	8852
312	8754
525	8657
536	8627
433	8554
303	8518
483	8488
213	8439
590	8438
498	8388
549	8374
259	8253
491	8248
173	8187
313	8173
180	8085
526	8074
408	8073
532	8070
225	8006
538	7863
477	7750
370	7711
452	7683
191	7562
227	7498
546	7469
254	7393
592	7324
334	7318
439	7312
286	7311
511	7295
183	7294
279	7261
508	7233
510	7035
564	7017
239	6986
322	6966
520	6900
587	6895
307	6876
454	6809
418	6776
438	6746
451	6714
243	6708
516	6666
229	6645
228	6586
345	6559
461	6539
448	6478
436	6410
351	6379
314	6325
343	6267
188	6252
411	6221
455	6210
374	6157
316	6081
267	6015
290	5988
308	5961
257	5886
205	5851
561	5833
544	5821
292	5818
531	5777
253	5740
378	5710
350	5605
534	5576
222	5566
482	5515
371	5514
294	5474
485	5451
541	5447
356	5427
261	5398
542	5389
331	5370
441	5355
171	5321
273	5233
499	5117
463	5070
178	5024
417	5004
354	4955
427	4898
509	4888
410	4852
493	4822
385	4812
168	4784
466	4776
268	4693
399	4689
162	4543
251	4514
315	4491
588	4467
425	4371
333	4322
242	4304
533	4189
437	4163
566	4151
489	4106
514	4058
422	3996
265	3984
530	3962
539	3719
547	3667
527	3625
401	3617
512	3612
404	3572
484	3563
593	3525
586	3518
515	3518
289	3501
506	3481
258	3442
440	3438
310	3333
386	3332
502	3321
594	3305
368	3270
479	3269
567	3238
326	3230
250	3213
540	3200
472	3027
412	3017
220	2941
392	2928
581	2915
521	2895
320	2789
449	2765
192	2721
465	2693
246	2684
367	2615
344	2609
522	2566
591	2490
557	2480
210	2469
230	2468
199	2389
476	2386
475	2343
264	2309
503	2277
560	2164
513	2134
381	2038
406	1996
219	1873
569	1841
311	1781
553	1756
464	1715
357	1677
336	1657
291	1529
377	1464
565	1407
394	1401
263	1393
507	1361
487	1319
576	1302
169	1189
550	1164
453	1151
494	1105
529	1093
176	1084
585	1065
274	1045
481	1024
460	983
528	933
446	762
500	752
575	614
523	560
556	531
582	517
189	489
518	479
416	478
577	448
473	214
524	207
496	176
469	157
545	83
