"SUID","@id","Betweenness","Closeness","Degree","Eigenvector","Information","LAC","name","Network","selected","shared name","stringdb::canonical name","stringdb::full name","Subgragh"
"192","stringdb:9606.ENSP00000317272","193.09681210328245","0.0623124196084036","53.0","0.06671182811260223","8.201298713684082","29.547169811320753","9606.ENSP00000317272","33.76229325078425","false","9606.ENSP00000317272","P08581",,"1.463438056356794E27"
"193","stringdb:9606.ENSP00000355517","153.71126080455565","0.060885351207931857","11.0","0.003505583619698882","5.363367557525635","1.8181818181818181","9606.ENSP00000355517","2.0500000000000003","false","9606.ENSP00000355517","O15229",,"4.041004285165806E24"
"194","stringdb:9606.ENSP00000355759","275.69834138580734","0.062232372252355124","57.0","0.06424892693758011","8.287717819213867","27.087719298245613","9606.ENSP00000355759","33.2067877828948","false","9606.ENSP00000355759","P09874",,"1.357376804204546E27"
"195","stringdb:9606.ENSP00000330237","559.5913944723978","0.0626977279263733","81.0","0.09543707966804504","8.647724151611328","38.32098765432099","9606.ENSP00000330237","53.755761586616615","false","9606.ENSP00000330237","Q9UEQ3",,"2.9950422923021904E27"
"196","stringdb:9606.ENSP00000370253","2.927124165472936","0.06083437979628854","7.0","0.0070158313028514385","4.387387275695801","3.7142857142857144","9606.ENSP00000370253","4.333333333333334","false","9606.ENSP00000370253","Q99801",,"1.6185530655939189E25"
"197","stringdb:9606.ENSP00000225831","1189.0367651203078","0.0631243665846243","98.0","0.11060776561498642","8.806475639343262","42.755102040816325","9606.ENSP00000225831","67.82192210639897","false","9606.ENSP00000225831","P13500",,"4.0229060877096834E27"
"198","stringdb:9606.ENSP00000221130","310.06529148588197","0.06241053535642714","43.0","0.04214009642601013","7.9288763999938965","20.46511627906977","9606.ENSP00000221130","24.907896368952866","false","9606.ENSP00000221130","P00390",,"5.839285477067833E26"
"199","stringdb:9606.ENSP00000351273","636.3609223017833","0.0627428406965031","86.0","0.10054522007703781","8.700221061706543","39.674418604651166","9606.ENSP00000351273","58.86359640563357","false","9606.ENSP00000351273","Q96T22",,"3.3242334423086453E27"
"200","stringdb:9606.ENSP00000352121","74.22711570071546","0.061660302644604724","30.0","0.034035518765449524","7.374170780181885","17.066666666666666","9606.ENSP00000352121","18.73348884381339","false","9606.ENSP00000352121","P48736",,"3.80919694205392E26"
"201","stringdb:9606.ENSP00000362525","55.224295818281036","0.06080044624180728","29.0","0.007565792184323072","7.316426753997803","18.96551724137931","9606.ENSP00000362525","20.264550264550262","false","9606.ENSP00000362525","Q9HAW7",,"1.882250770925553E25"
"202","stringdb:9606.ENSP00000454071","1036.2706588571323","0.06233023588277341","51.0","0.04289913550019264","8.153901100158691","19.294117647058822","9606.ENSP00000454071","27.56573402053691","false","9606.ENSP00000454071","Q53ZD9",,"6.0515377726636316E26"
